th ;kd_prd;kd_fk;kd_ptn ;dt ;jp;pg ;;;
2015;3551302;NULL;355;30;1065;38;;;
2016;3551302;NULL;355;30;1014;36,5;;;
2017;3551302;NULL;355;46;1174;35;;;
2013;3551317;NULL;355;24;706;35;;;
2014;3551317;NULL;355;24;541;36;;;
2015;3551317;NULL;355;30;773;35;;;
2016;3551317;NULL;355;30;752;36;;;
2017;3551317;NULL;355;46;802;37;;;
2013;3611012;NULL;361;66;968;33;;;
2014;3611012;NULL;361;54;915;34,5;;;
2015;3611012;NULL;361;57;1088;35,00;;;
2016;3611012;NULL;361;60;965;34,5;;;
2017;3611012;NULL;361;88;5979;35;;;
2013;3611027;NULL;361;80;2417;44;;;
2014;3611027;NULL;361;72;2343;44,5;;;
2015;3611027;NULL;361;72;2164;43,00;;;
2016;3611027;NULL;361;96;2383;44,5;;;
2017;3611027;NULL;361;72;2917;43,5;;;
2013;3611035;NULL;361;30;744;33,6;;;
2014;3611035;NULL;361;30;947;33,5;;;
2015;3611035;NULL;361;30;722;33,80;;;
2016;3611035;NULL;361;30;856;34,2;;;
2017;3611035;NULL;361;40;834;34;;;
2013;3611043;NULL;361;21;431;35;;;
2014;3611043;NULL;361;21;550;36,5;;;
2015;3611043;NULL;361;21;500;36;;;
2016;3611043;NULL;361;21;591;36,7;;;
2017;3611043;NULL;361;28;637;37;;;
2013;3611051;NULL;361;21;805;42;;;
2014;3611051;NULL;361;21;433;41;;;
2015;3611051;NULL;361;21;534;41,6;;;
2016;3611051;NULL;361;21;538;42;;;
2017;3611051;NULL;361;28;523;43,2;;;
2013;3611066;NULL;361;69;3719;52;;;
2014;3611066;NULL;361;60;3592;53;;;
2015;3611066;NULL;361;53;3188;53,5;;;
2016;3611066;NULL;361;53;3321;53;;;
2017;3611066;NULL;361;70;3777;54;;;
2013;3611074;NULL;361;33;820;37,9;;;
2014;3611074;NULL;361;38;899;38,04;;;
2015;3611074;NULL;361;35;934;38,5;;;
2016;3611074;NULL;361;35;1023;39;;;
2017;3611074;NULL;361;46;1129;40;;;
2013;3611082;NULL;361;24;1545;40;;;
2014;3611082;NULL;361;28;1623;41;;;
2015;3611082;NULL;361;24;1449;42,3;;;
2016;3611082;NULL;361;24;1609;42,5;;;
2017;3611082;NULL;361;32;1684;43;;;
2013;3611097;NULL;361;46;1754;38;;;
2014;3611097;NULL;361;46;1685;39,5;;;
2015;3611097;NULL;361;46;1508;40;;;
2016;3611097;NULL;361;46;1856;40,3;;;
2017;3611097;NULL;361;61;2040;41;;;
2013;3611101;NULL;361;54;1138;39;;;
2014;3611101;NULL;361;54;1119;40,2;;;
2015;3611101;NULL;361;60;973;41,2;;;
2016;3611101;NULL;361;54;1140;40,19;;;
2017;3611101;NULL;361;72;1176;41;;;
2013;3611155;NULL;361;25;357;40;;;
2014;3611155;NULL;361;26;373;41;;;
2015;3611155;NULL;361;26;347;41,2;;;
2016;3611155;NULL;361;21;297;41,2;;;
2017;3611155;NULL;361;28;362;41,5;;;
2013;3611163;NULL;361;54;692;40;;;
2014;3611163;NULL;361;54;535;41,5;;;
2015;3611163;NULL;361;48;574;42,5;;;
2016;3611163;NULL;361;45;580;43,5;;;
2017;3611163;NULL;361;60;716;44;;;
2013;3611171;NULL;361;21;546;39;;;
2014;3611171;NULL;361;21;570;40;;;
2015;3611171;NULL;361;21;472;39,4;;;
2016;3611171;NULL;361;21;628;41;;;
2017;3611171;NULL;361;28;663;41,5;;;
2013;3611186;NULL;361;27;1186;47;;;
2014;3611186;NULL;361;27;1252;48,5;;;
2015;3611186;NULL;361;27;1029;48,5;;;
2016;3611186;NULL;361;27;1334;48,5;;;
2017;3611186;NULL;361;36;1664;45,5;;;
2013;3611194;NULL;361;21;608;41;;;
2014;3611194;NULL;361;25;766;41,5;;;
2015;3611194;NULL;361;21;600;42,04;;;
2016;3611194;NULL;361;18;690;43;;;
2017;3611194;NULL;361;24;875;44;;;
2013;3611205;NULL;361;23;724;37;;;
2014;3611205;NULL;361;23;864;37,6;;;
2015;3611205;NULL;361;23;612;38,5;;;
2016;3611205;NULL;361;15;461;38,5;;;
2017;3611205;NULL;361;20;424;36;;;
2013;3611213;NULL;361;27;440;43;;;
2014;3611213;NULL;361;27;488;44,5;;;
2015;3611213;NULL;361;27;472;43,5;;;
2016;3611213;NULL;361;27;570;44,04;;;
2017;3611213;NULL;361;36;546;45;;;
2013;3611221;NULL;361;12;286;36;;;
2014;3611221;NULL;361;14;431;37,2;;;
2015;3611221;NULL;361;21;431;37,4;;;
2016;3611221;NULL;361;23;575;38;;;
2017;3611221;NULL;361;30;559;38,3;;;
2013;3611244;NULL;361;12;257;37;;;
2014;3611244;NULL;361;15;399;38,3;;;
2015;3611244;NULL;361;15;344;37,6;;;
2016;3611244;NULL;361;15;367;38,02;;;
2017;3611244;NULL;361;20;419;39;;;
2013;3611275;NULL;361;9;191;33;;;
2014;3611275;NULL;361;8;186;34;;;
2015;3611275;NULL;361;8;165;33,5;;;
2016;3611275;NULL;361;8;176;34;;;
2017;3611275;NULL;361;10;238;34,6;;;
2013;3611291;NULL;361;14;309;33,2;;;
2014;3611291;NULL;361;14;306;33;;;
2015;3611291;NULL;361;17;392;33,5;;;
2016;3611291;NULL;361;17;311;33,5;;;
2017;3611291;NULL;361;22;358;33,8;;;
2013;3611317;NULL;361;9;123;37;;;
2014;3611317;NULL;361;9;180;36;;;
2015;3611317;NULL;361;9;164;34,5;;;
2016;3611317;NULL;361;9;177;35;;;
2017;3611317;NULL;361;12;269;36,4;;;
2013;3611325;NULL;361;72;1013;37;;;
2014;3611325;NULL;361;72;939;38;;;
2015;3611325;NULL;361;72;1089;38,2;;;
2016;3611325;NULL;361;72;1003;38,7;;;
2017;3611325;NULL;361;96;1121;39;;;
2013;3611333;NULL;361;24;1271;39;;;
2014;3611333;NULL;361;30;1429;40;;;
2015;3611333;NULL;361;27;1223;41;;;
2016;3611333;NULL;361;27;1693;40;;;
2017;3611333;NULL;361;36;1790;39;;;
2013;3611341;NULL;361;21;947;37;;;
2014;3611341;NULL;361;25;1208;36,5;;;
2015;3611341;NULL;361;24;919;38;;;
2016;3611341;NULL;361;24;1352;37;;;
2017;3611341;NULL;361;36;1329;36;;;
2013;3611356;NULL;361;27;915;34;;;
2014;3611356;NULL;361;30;1120;35;;;
2015;3611356;NULL;361;33;862;35;;;
2016;3611356;NULL;361;33;922;35;;;
2017;3611356;NULL;361;48;811;32,7;;;
2013;3611364;NULL;361;36;1875;40;;;
2014;3611364;NULL;361;40;2117;40,5;;;
2015;3611364;NULL;361;36;1335;41;;;
2016;3611364;NULL;361;36;950;41;;;
2017;3611364;NULL;361;48;1020;41,5;;;
2013;3611372;NULL;361;42;1076;45;;;
2014;3611372;NULL;361;49;1157;45,5;;;
2015;3611372;NULL;361;45;912;44;;;
2016;3611372;NULL;361;45;1086;45,2;;;
2017;3611372;NULL;361;68;1089;43;;;
2013;3611387;NULL;361;36;990;47;;;
2014;3611387;NULL;361;45;1276;49,4;;;
2015;3611387;NULL;361;45;965;49,4;;;
2016;3611387;NULL;361;45;1320;50;;;
2017;3611387;NULL;361;40;1278;49;;;
2013;3611395;NULL;361;42;1606;42;;;
2014;3611395;NULL;361;50;1852;43,4;;;
2015;3611395;NULL;361;48;1536;2,4;;;
2016;3611395;NULL;361;48;1792;43,4;;;
2017;3611395;NULL;361;56;1855;44;;;
2013;3611406;NULL;361;45;1579;;;;
2014;3611406;NULL;361;50;2080;45;;;
2015;3611406;NULL;361;50;1763;45;;;
2016;3611406;NULL;361;50;2399;45;;;
2017;3611406;NULL;361;66;2565;38,5;;;
2013;3611414;NULL;361;14;433;46;;;
2014;3611414;NULL;361;20;565;47,3;;;
